dot,LR-SR,LR-SM
DotA_PCFS_runone_two_6s.pickle,0.00216219,0.00143138
DotAa_PCFS_runfour_6s.pickle,0.00071285,0.00041799
DotAa_PCFS_runseven_6s.pickle,0.00041452,0.00021859
DotAa_PCFS_runseven_two_6s.pickle,0.00074209,0.00022276
DotAa_PCFS_runten_6s.pickle,0.00046327,0.00022223
DotAa_PCFS_runten_two_6s.pickle,0.00326822,0.00096028
DotAb_PCFS_runfortytwo_6s.pickle,0.0011893,0.00048893
DotAb_PCFS_runnineteen_6s.pickle,0.00048608,0.00012449
DotAb_PCFS_runone_6s.pickle,0.00191962,0.0010643
DotAb_PCFS_runsixteen_6s.pickle,0.0002545,0.0001205
DotAb_PCFS_runthirteen_6s.pickle,0.0013809,0.00026014
DotAb_PCFS_runthirtyseven_6s.pickle,0.00233837,0.000922
DotAb_PCFS_runthirtytwo_6s.pickle,0.00136263,0.00069861
DotAb_PCFS_runtwentyfive_6s.pickle,0.00071534,0.00015999
DotAb_PCFS_runtwentytwo_6s.pickle,0.00038813,9.89E-05
DotAc_PCFS_runfour_6s.pickle,0.00106342,0.00051286
DotAc_PCFS_runone_6s.pickle,0.00175584,0.00143252
DotAd_PCFS_runone_6s.pickle,0.00152217,0.00114564
DotAe_PCFS_runone_6s.pickle,0.00191285,0.00191231
DotB_PCFS_runone_6s.pickle,0.00197029,0.00057429
DotBa_PCFS_runseven_two_6s.pickle,0.00222817,0.00034127
DotBa_PCFS_runten_two_6s.pickle,0.00289386,0.00049748
DotBc_PCFS_runfour_6s.pickle,0.0055716,0.00090287
DotBc_PCFS_runone_6s.pickle,0.00132592,0.00073115
DotBd_PCFS_runfour_6s.pickle,0.00305073,0.00084002
DotBd_PCFS_runone_6s.pickle,0.00344487,0.00113141
DotBd_PCFS_runseven_6s.pickle,0.00134486,0.00060324
DotBd_PCFS_runten_6s.pickle,0.00126709,0.00028169
DotBe_PCFS_runfour_6s.pickle,0.00122569,0.00056334
DotBe_PCFS_runone_6s.pickle,0.0034197,0.0018393
DotC_PCFS_runeight_6s.pickle,0.00147458,0.00033854
DotC_PCFS_runfive_6s.pickle,0.0036975,0.00078872
DotC_PCFS_runfour_6s.pickle,0.0018489,0.0004149
DotC_PCFS_runnine_6s.pickle,0.00222689,0.0007104
DotC_PCFS_runone_6s.pickle,0.00167295,0.00161872
DotC_PCFS_runseven_6s.pickle,0.00081987,0.00039581
DotC_PCFS_runten_6s.pickle,0.00461274,0.00127481
DotC_PCFS_runthree_6s.pickle,0.00167095,0.00090468
DotC_PCFS_runtwo_6s.pickle,0.00119528,0.0004435
DotCa_PCFS_runone_6s.pickle,0.0017311,0.00075767
DotCd_PCFS_runone_6s.pickle,0.00262862,0.00142367
DotD_PCFS_runone_6s.pickle,0.0017737,0.00150831
DotDa_PCFS_runone_6s.pickle,0.00226966,0.00108851
DotDb_PCFS_runone_6s.pickle,0.00116078,0.00057619
DotDb_PCFS_runseven_6s.pickle,0.00051071,0.00024549
DotDb_PCFS_runten_6s.pickle,0.00083238,0.00022362
DotDe_PCFS_runone_6s.pickle,0.00445103,0.00273483
DotE_PCFS_runone_6s.pickle,0.0017981,0.0014591
DotEb_PCFS_runone_6s.pickle,0.00405883,0.00244656
DotEc_PCFS_runfour_6s.pickle,0.00132898,0.00080096
DotEc_PCFS_runone_6s.pickle,0.00476901,0.00129252
DotEc_PCFS_runten_6s.pickle,0.00271098,0.00055447
DotEc_PCFS_runthirteen_6s.pickle,0.00730831,0.00152101
DotEe_PCFS_runfour_6s.pickle,0.00066785,0.00028603
DotEe_PCFS_runone_6s.pickle,0.0027682,0.00122996
DotEe_PCFS_runten_6s.pickle,0.00074478,0.00032484
DotF_PCFS_runone_6s.pickle,0.00213189,0.00146559
DotFb_PCFS_runseven_6s.pickle,0.00076327,0.00037956
DotFb_PCFS_runten_6s.pickle,0.00080954,0.00022367
DotFc_PCFS_runfour_6s.pickle,0.00267433,0.00072429
DotFc_PCFS_runone_6s.pickle,0.00321759,0.00119545
DotFe_PCFS_runfour_6s.pickle,0.00314774,0.00089667
DotFe_PCFS_runone_6s.pickle,0.00138287,0.00121327
DotG_PCFS_runone_6s.pickle,0.00363298,0.00126197
DotGb_PCFS_runseven_6s.pickle,0.00043184,0.00027447
DotGb_PCFS_runten_6s.pickle,0.00128357,0.00025418
DotHa_PCFS_runone_6s.pickle,0.00076614,0.00066573
DotHb_PCFS_runfour_6s.pickle,0.00090374,0.00034155
DotHb_PCFS_runone_6s.pickle,0.00210681,0.00114423
DotK_PCFS_runone_6s.pickle,0.00117335,0.00095298
DotY_PCFS_runfive_6s.pickle,0.00482612,0.00172479
DotY_PCFS_runfour_6s.pickle,0.00198366,0.00058904
DotY_PCFS_runone_three_6s.pickle,0.00388861,0.00118233
DotY_PCFS_runone_two_6s.pickle,0.00194525,0.00108588
DotY_PCFS_runseven_6s.pickle,0.00708905,0.00146315
DotY_PCFS_runsix_6s.pickle,0.00394034,0.00090571
DotY_PCFS_runten_6s.pickle,0.00410864,0.00075633
DotZ_PCFS_runthree_6s.pickle,0.00196007,0.0010937
DotZa_PCFS_runthree_6s.pickle,0.0004218,0.00040227
DotAb_PCFS_runten_6s.pickle,0.00018012,4.53E-05
DotBd_PCFS_runseven_6s.pickle,0.00134486,0.00060324
DotBe_PCFS_runone_6s.pickle,0.0034197,0.0018393
DotDb_PCFS_runfour_6s.pickle,0.00072591,0.00071317
DotEb_PCFS_runfour_6s.pickle,0.00648418,0.00143773
DotHb_PCFS_runten_6s.pickle,0.00026069,6.14E-05
DotY_PCFS_runeight_6s.pickle,0.007661,0.00129079
DotY_PCFS_runnine_6s.pickle,0.01117006,0.00222979
